Name,Type,Cuisine,City,Street,Postcode,Website,Latitude,Longitude,Status
Lucky Dragon,restaurant,chinese,,,,,41.2843178,-81.0974685,needs_fix
Fresh Start Diner,restaurant,diner,,,,,41.2844756,-81.0977918,needs_fix
Subway,fast_food,sandwich,Garrettsville,Main Street,44231,https://restaurants.subway.com/united-states/oh/garrettsville/8094-main-st,41.2848511,-81.0983209,valid
Italian Garden,restaurant,pizza,,,,,41.2847028,-81.0980689,needs_fix
Jersey Mike's Subs,fast_food,sandwich,,,,https://www.jerseymikes.com/2061/hudson-oh,41.2387285,-81.4464323,needs_fix
Michael's AM,restaurant,,Akron,Akron Peninsula Road,44313,https://michaelsam.net/,41.1376869,-81.5480042,valid
Subway,fast_food,sandwich,Stow,Darrow Road,44224,https://restaurants.subway.com/united-states/oh/stow/4968-darrow-rd,41.2004287,-81.4414635,valid
Starbucks,cafe,coffee_shop,Cuyahoga Falls,Portage Trail,44223,https://www.starbucks.com/store-locator/store/1007744/portage-trail-2071-portage-trail-space-1000-cuyahoga-falls-oh-44,41.1487199,-81.508142,valid
Northside Speakeasy,bar,,Akron,Furnace Street,44308,https://www.northsidespeakeasy.com/,41.0888222,-81.5151401,valid
Nervous Dog Coffee Bar,cafe,coffee_shop,Akron,West Market Street,44313,,41.1070878,-81.5649003,valid
Arby's,fast_food,sandwich,,,,https://www.arbys.com/locations/us/oh/akron/292-e-exchange-street/store-8088/,41.0726441,-81.5127414,needs_fix
Chipotle,fast_food,mexican,Akron,East Exchange Street,44304,https://locations.chipotle.com/oh/akron/272-e-exchange-st,41.072919,-81.513455,valid
Cinnabon,fast_food,dessert,,,,,40.9155091,-81.4366817,needs_fix
Little Caesars,fast_food,pizza,Alliance,West State Street,44601,,40.9022746,-81.141218,valid
Wendy's,fast_food,burger,Alliance,West State Street,44601,https://locations.wendys.com/united-states/oh/alliance/1833-w-state-st,40.9022375,-81.1329389,valid
LongHorn Steakhouse,restaurant,steak_house,,,,,40.9031853,-81.1393372,needs_fix
Strickland,ice_cream,,,,,,41.1462429,-81.4740284,needs_fix
Burger King,fast_food,burger,Alliance,South Union Avenue,44601-2932,https://www.bk.com/store-locator/store/restaurant_705,40.9144072,-81.106327,valid
Subway,fast_food,sandwich,Stow,Kent Road,44224,https://restaurants.subway.com/united-states/oh/stow/4301-kent-rd,41.1569876,-81.4058215,valid
Chipotle,fast_food,mexican,Stow,Kent Road,44224,https://locations.chipotle.com/oh/stow/4338-kent-rd,41.1561641,-81.4058006,valid
Don Poncho's,restaurant,tex-mex,,,,https://www.donpanchostexmexgrill.com/,40.9027404,-81.1407417,needs_fix
Chipotle,fast_food,mexican,Alliance,West State Street,44601,https://locations.chipotle.com/oh/alliance/1630-w-state-st,40.9014737,-81.1290297,valid
Rey's Bar & Grill,restaurant,american,,,,https://www.reys62.com/,40.9026589,-81.1411764,needs_fix
Jimmy John's,fast_food,sandwich,Alliance,West State Street,44601,https://locations.jimmyjohns.com/oh/alliance/sandwiches-761.html,40.9014246,-81.1446459,valid
Buffalo Wild Wings,restaurant,wings,,,,,40.9012084,-81.110174,needs_fix
Papa John's,fast_food,pizza,Alliance,West State Street,44601,https://locations.papajohns.com/united-states/oh/44601/alliance/1210-w-state-st,40.9015539,-81.123563,valid
East of Chicago Pizza,restaurant,pizza,,,,,40.902173,-81.1218239,needs_fix
Bob's Pizza,restaurant,pizza;wings;american,,,,,41.0306905,-81.2487085,needs_fix
Chipotle,fast_food,mexican,Cuyahoga Falls,Howe Avenue,44221,https://locations.chipotle.com/oh/cuyahoga-falls/371-howe-ave,41.1195828,-81.4794273,valid
Starbucks,cafe,coffee_shop,Cuyahoga Falls,Howe Avenue,44221,https://www.starbucks.com/store-locator/store/6597/cuyahoga-falls-howe-street-371-howe-ave-cuyahoga-falls-oh-442214921-us,41.119584,-81.4796722,valid
Taco Bell,fast_food,tex-mex,Cuyahoga Falls,Howe Avenue,44221,https://locations.tacobell.com/oh/cuyahoga-falls/360-howe-ave.html,41.1188191,-81.4814235,valid
Burger King,fast_food,burger,Cuyahoga Falls,Howe Avenue,44221,https://www.bk.com/store-locator/store/restaurant_3018,41.1187979,-81.4822619,valid
Coventry Diner,restaurant,diner,,Manchester Road,44319,,41.0093722,-81.5524772,valid
Johnny J's Pub,bar,,,,,,41.0090935,-81.5543155,needs_fix
Dav's Creamery,ice_cream,,,,,,40.9971912,-81.5569864,needs_fix
Starbucks,cafe,coffee_shop,Cuyahoga Falls,State Road,44223,https://www.starbucks.com/store-locator/store/1010398/market-district-cuyahoga-falls-2687-state-rd-cuyahoga-falls-oh-44223-us,41.1467506,-81.50664,valid
Heggy's,confectionery,,,,,,40.9016163,-81.1248583,needs_fix
College Inn Restaurant,restaurant,american,Alliance,West State Street,44601,https://collegeinnalliance.com/,40.9020296,-81.1182345,valid
Starbucks,cafe,coffee_shop,Akron,West Market Street,44313,https://www.starbucks.com/store-locator/store/1015905/west-market-street-1971-west-market-st-akron-oh-443136910-us,41.1138063,-81.578394,valid
Chill Artisan Ice Cream,ice_cream,,Akron,North High Street,44308,,41.0856632,-81.5154462,valid
High Street Hop House,bar,,Akron,North High Street,44308,https://www.hophouse.bar/,41.0853984,-81.5155233,valid
Beef 'O' Brady's,restaurant,,,,,,41.1658249,-81.4409098,needs_fix
Golden Place,restaurant,chinese,,,,,41.1005768,-81.4375317,needs_fix
Jersey Mike's Subs,fast_food,sandwich,,,,https://www.jerseymikes.com/2069/alliance-oh,40.9012221,-81.1109078,needs_fix
Pavonas Pizza,restaurant,pizza,,,,,41.1183593,-81.5878459,needs_fix
Caporalettis pizza,restaurant,pizza,,,,,41.10589,-81.2412798,needs_fix
Starbucks,cafe,coffee_shop,Akron,Buchetel Common,44325,https://www.starbucks.com/store-locator/store/1015710/university-of-akron-library-315-buchtel-commons-rdh-akron-oh-443250002-us,41.0769275,-81.5106743,valid
Fred's Dinner,restaurant,,,,,,41.0961914,-81.4884606,needs_fix
Five Guys,fast_food,burger,Cuyahoga Falls,Howe Avenue,44221,https://restaurants.fiveguys.com/753-howe-ave,41.1195962,-81.4722709,valid
Starbucks,cafe,coffee_shop,,,44325,https://www.starbucks.com/store-locator/store/8933/university-of-akron-student-un-303-carroll-st-akron-oh-443250016-us,41.0756305,-81.5117943,needs_fix
Union Market,restaurant,,,,,,41.0757255,-81.5124596,needs_fix
Qdoba,fast_food,mexican,Akron,Carroll Street,44325,https://locations.qdoba.com/us/oh/akron/univ-of-akron-student-union.html,41.0755961,-81.513066,valid
Panda Express,fast_food,chinese,Akron,Carroll Street,44325,https://www.pandaexpress.com/locations/oh/akron/2643,41.0756547,-81.5129801,valid
Auntie Anne's,fast_food,pretzel,,,,,41.0757619,-81.5129587,needs_fix
Burger King,fast_food,burger,Akron,East Waterloo Road,44319,https://www.bk.com/store-locator/store/restaurant_4457,41.027603,-81.510787,valid
Penn Station,fast_food,sandwich,,,,,41.072871,-81.5133278,needs_fix
Panda,fast_food,,,,,,41.0728528,-81.5132759,needs_fix
Pulp,fast_food,,,,,,41.0728349,-81.5132238,needs_fix
Bubbles & Puffles,ice_cream,,,,,,41.0727664,-81.513039,needs_fix
Five Guys,fast_food,burger,Akron,East Exchange Street,44304,https://restaurants.fiveguys.com/282-e-exchange-st,41.0728076,-81.5131479,valid
Taco Bell,fast_food,tex-mex,Akron,West Market Street,44313,https://locations.tacobell.com/oh/akron/1940-w--market-st.html,41.1129906,-81.5777675,valid
The Pub,restaurant,,,,,,41.1504636,-81.3598898,needs_fix
Subway,fast_food,sandwich,Akron,East Market Street,44312,https://restaurants.subway.com/united-states/oh/akron/2068-e-market-st,41.0602321,-81.4546648,valid
Piada,restaurant,italian,,,,,41.1110229,-81.5695716,needs_fix
Remarkable Diner,restaurant,,,,,,41.0227746,-81.589248,needs_fix
Little Caesars,fast_food,pizza,,,,https://littlecaesars.com/en-us/store/11196/,41.0100961,-81.5876108,needs_fix
New China,restaurant,chinese,Alliance,East State Street,44601,https://us.chinesemenu.com/m/101332176.htm,40.9013432,-81.1005357,valid
China Buffet,restaurant,,,,,,40.9010571,-81.1516082,needs_fix
Marco's Pizza,restaurant,pizza,Akron,North Hawkins Avenue,44313,,41.1100432,-81.5687413,valid
Papa Gryo's,restaurant,greek,Akron,North Hawkins Avenue,44313,,41.1098548,-81.5687178,valid
Einstein Bros. Bagels,fast_food,bagel,Akron,West Exchange Street,44313,https://locations.einsteinbros.com/us/oh/akron/1751-w-exchange-st,41.1090691,-81.5689199,valid
Altieri's Pizza,restaurant,pizza,Tallmadge,Tallmadge Circle,44278,http://www.altierispizza.com/,41.1005194,-81.4400304,valid
Panda Garden,restaurant,chinese,Alliance,South Union Avenue,44601,http://alliancepandagarden.com/,40.9169593,-81.1052784,valid
Chipotle,fast_food,mexican,Akron,Arlington Ridge,44312,https://locations.chipotle.com/oh/akron/790-arlington-rdg,40.9827344,-81.4939681,valid
Burger Hut,restaurant,burger,,,,,40.929107,-81.1055477,needs_fix
Subway,fast_food,sandwich,,,,,41.1064881,-81.2432465,needs_fix
China Dragon,restaurant,chinese,,,,,41.0997107,-81.2438146,needs_fix
Angelo's Pizzeria,restaurant,pizza,,,,,41.099398,-81.2427975,needs_fix
Starbucks,cafe,coffee_shop,Alliance,West State Street,44601,https://www.starbucks.com/store-locator/store/1013926/alliance-west-state-st-2495-w-state-street-alliance-oh-446015600-us,40.9023822,-81.1545239,valid
Subway,fast_food,sandwich,Alliance,Parkway Boulevard,44601,https://restaurants.subway.com/united-states/oh/alliance/2100-parkway-blvd,40.9008869,-81.1180037,valid
Old Caralina BBQ,restaurant,barbecue,,,,,40.9015015,-81.1172941,needs_fix
Hardee's,fast_food,burger,Akron,Gilchrist Road,44305,https://locations.hardees.com/oh/akron/2695-gilchrist-rd,41.0644687,-81.4293203,valid
Hamburger Station,fast_food,,,,,,41.044271,-81.4372077,needs_fix
East of Chicago Pizza,restaurant,,,Canton Road,,,41.0445265,-81.4373585,valid
Subway,fast_food,sandwich,Akron,East Waterloo Road,44312,https://restaurants.subway.com/united-states/oh/akron/2843-e-waterloo-rd,41.0320196,-81.425135,valid
Papa John's,fast_food,pizza,Akron,East Waterloo Road,44312,https://locations.papajohns.com/united-states/oh/44312/akron/2845-e-waterloo-rd,41.0320162,-81.4250385,valid
Johnny J's Pub & Grill,bar,,Akron,East Waterloo Road,44312,,41.0319183,-81.4245263,valid
Arnie's,bar,,,,,,41.1094699,-81.5699183,needs_fix
Hopping Frog Brewery,bar,,,,,,41.0246552,-81.4676666,needs_fix
Mucky Duck Brewery,bar,,,,,,40.9778032,-81.5215715,needs_fix
Grinders,restaurant,american,Alliance,West State Street,44601,https://www.grinders.net,40.9009452,-81.1324591,valid
Starbucks,cafe,coffee_shop,Stow-Kent Plaza,Kent Road,44224,https://www.starbucks.com/store-locator/store/90026/stow-kent-plaza-4294-kent-road-stow-oh-442244470-us,41.1567091,-81.4086711,valid
Taqueria El Paso,restaurant,mexican,Akron,South Main Street,44301,https://www.facebook.com/TaqueriaElPasoAkron/,41.0376237,-81.526437,valid
Ms. Julie's Kitchen,restaurant,,Akron,South Main Street,44301,,41.0376842,-81.5264386,valid
House of Hunan,restaurant,asian,,East Waterloo Road,44319,https://houseofhunan6.com/,41.0275735,-81.5128049,valid
Hungry Howie's,fast_food,pizza,,,,,41.0285029,-81.5136278,needs_fix
Mama Rosa's,restaurant,pizza,Akron,Brown Street,44301,https://mamarosespizza.com/,41.0513434,-81.5097481,valid
Butcher and Sprout,pub,,,,,,41.1307728,-81.4840025,needs_fix
